A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,Class
0,1,1,10,1,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,5,0,0,1,1,0,0,0,0,1,1,0,c1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,c1
0,0,0,3,2,0,0,1,0,0,0,0,0,1,1,c1
1,1,1,11,5,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,c1
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,c1
0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,c1
0,0,0,10,2,0,0,1,0,1,0,0,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,c1
0,1,1,12,0,1,0,0,0,0,1,0,0,1,0,c1
0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,c1
0,0,0,13,8,0,0,0,0,1,0,0,0,1,0,c1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,c1
0,0,0,5,0,0,1,0,2,0,0,0,2,0,0,c1
0,1,1,5,0,0,0,0,2,0,0,0,0,1,0,c1
0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,5,2,1,1,1,0,0,0,0,1,1,0,c1
0,1,1,12,0,0,0,1,0,0,1,0,0,1,0,c1
0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,c1
1,0,0,13,8,0,0,0,0,0,1,0,0,0,0,c1
1,1,1,12,0,1,0,1,0,0,0,0,0,1,0,c1
0,1,1,9,0,0,0,0,2,0,0,0,0,1,0,c1
0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,c1
0,0,0,5,0,0,0,1,0,0,0,1,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,c1
0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,c1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,c1
1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,c1
0,0,0,11,6,0,0,0,0,1,1,0,0,0,0,c1
0,1,1,5,0,0,0,0,0,0,1,0,0,1,0,c1
0,0,0,3,2,0,0,0,0,0,1,1,0,1,1,c1
0,1,1,2,0,1,0,1,0,0,0,1,0,1,0,c1
0,1,1,5,8,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,8,0,1,1,1,0,0,0,0,1,1,1,c1
0,1,1,9,0,0,0,1,0,0,0,1,0,1,0,c1
0,0,0,9,0,0,1,0,0,0,0,0,1,1,0,c1
0,0,0,3,2,0,0,1,0,0,0,1,0,1,0,c1
0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,c1
0,1,1,9,0,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,11,1,0,0,0,0,0,1,1,0,1,0,c1
1,0,0,3,0,0,0,1,2,0,0,0,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,5,0,0,0,1,2,0,1,1,0,1,0,c1
0,0,0,12,0,1,0,1,0,0,0,1,0,1,0,c1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c1
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,c1
1,0,0,13,8,0,1,0,0,0,0,0,1,1,0,c1
0,1,1,13,8,0,1,0,0,0,1,0,1,1,0,c1
1,0,0,5,1,0,0,0,0,0,1,0,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,13,8,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,13,8,0,1,0,0,0,0,0,2,0,0,c1
0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,8,0,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,6,0,0,1,1,0,0,1,1,1,1,0,c1
1,0,0,13,8,0,1,0,0,0,0,0,2,0,0,c1
0,1,1,8,1,0,1,1,0,0,0,1,1,1,0,c1
1,0,0,13,8,0,1,0,0,1,0,1,1,0,0,c1
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,c1
0,0,0,13,8,1,0,0,0,1,0,0,0,1,0,c1
0,0,0,8,0,1,1,0,0,0,1,0,1,0,0,c1
0,1,1,1,0,1,0,0,2,1,1,1,0,0,0,c1
0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,c1
0,1,1,12,0,1,0,0,0,0,0,1,0,1,0,c1
1,0,0,4,3,0,0,1,0,0,0,0,0,1,0,c1
0,0,0,8,1,1,1,0,0,1,1,0,1,1,0,c1
1,0,0,6,1,0,1,1,0,0,0,0,1,1,0,c1
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,c1
1,1,1,13,8,0,0,0,0,0,1,0,0,0,0,c1
0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,c1
1,0,0,12,0,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,3,1,0,0,1,2,1,0,1,0,1,0,c1
0,0,0,9,0,0,1,0,0,0,0,0,1,0,0,c1
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,c1
0,0,0,9,0,0,0,1,0,0,0,0,0,1,0,c1
0,0,0,3,0,0,1,1,0,0,0,1,1,1,0,c1
0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,c1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,c1
1,1,1,3,2,0,0,0,0,0,0,1,0,1,0,c1
1,1,1,12,0,0,0,0,0,0,0,1,0,1,0,c1
1,0,0,9,0,0,0,1,0,0,0,0,0,1,0,c1
0,0,0,13,8,1,1,0,0,1,1,0,1,0,0,c1
0,0,0,3,2,1,0,0,0,1,0,0,0,1,0,c1
0,1,1,9,0,0,0,0,2,0,0,1,0,1,0,c1
0,0,0,12,0,0,1,1,0,0,0,1,1,1,0,c1
1,1,1,13,8,0,1,1,0,0,1,1,1,1,0,c1
0,0,0,12,2,0,0,1,0,0,1,0,0,1,0,c1
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,c1
0,0,0,5,0,1,0,0,2,0,0,0,0,1,0,c1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,c1
0,1,1,6,0,0,0,0,0,0,1,0,0,1,0,c1
0,0,0,6,0,0,0,1,2,1,0,1,0,1,0,c1
0,0,0,9,0,1,0,1,0,0,1,0,0,1,0,c1
0,0,0,9,0,0,0,0,0,0,1,0,0,1,1,c1
0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,c1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c1
0,0,0,5,0,1,0,0,0,1,0,0,0,1,0,c1
1,0,0,8,0,0,1,1,0,0,1,0,1,0,0,c1
1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,c1
0,0,0,6,0,1,0,0,2,1,0,1,0,1,0,c1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,c1
0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,c1
0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,c1
1,0,0,13,8,0,1,0,0,0,0,0,1,0,0,c1
0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,4,3,0,1,0,0,0,0,0,1,1,0,c1
1,0,0,13,8,0,0,0,0,0,1,0,0,1,0,c1
0,0,0,8,0,1,1,0,0,0,1,0,1,1,0,c1
1,0,0,5,1,1,1,1,0,1,1,1,1,1,0,c1
1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,c1
1,0,0,12,1,1,0,0,0,0,0,1,0,1,0,c1
0,0,0,6,0,0,1,0,0,0,0,0,2,1,1,c1
1,1,1,13,8,0,0,0,0,0,0,1,0,1,0,c1
0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,5,0,1,1,1,0,0,1,1,1,1,0,c1
1,0,0,13,8,0,1,0,0,0,0,0,2,1,0,c1
0,1,1,12,0,0,0,1,0,0,0,1,0,1,0,c1
0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,0,2,1,0,1,2,0,0,1,0,1,0,c1
0,0,0,9,0,0,0,0,0,1,1,1,0,1,0,c1
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,c1
0,0,0,12,0,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,6,0,0,0,1,2,0,0,0,0,0,0,c1
1,0,0,8,0,0,0,1,0,0,0,0,0,1,1,c1
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,c1
0,0,0,11,6,1,1,0,0,1,1,0,2,1,0,c1
0,0,0,9,0,1,0,1,0,0,0,0,0,1,0,c1
0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,12,0,0,0,0,0,0,1,0,0,1,1,c1
0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,6,0,1,0,0,2,0,0,0,0,1,0,c1
1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,13,8,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,c1
1,1,1,10,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,13,8,0,0,0,0,0,0,0,0,0,1,c1
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,c1
0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,c1
0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,c1
0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,5,0,1,1,0,0,0,0,1,1,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,13,8,0,0,1,0,0,0,0,0,1,1,c1
0,0,0,9,0,1,1,1,0,0,0,1,1,1,0,c1
0,0,0,3,2,0,0,0,0,1,1,0,0,1,0,c1
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,c1
1,1,1,4,3,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,0,0,0,0,1,2,0,0,1,0,1,0,c1
0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,c1
0,0,0,3,2,0,0,1,2,0,0,1,0,1,0,c1
0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,c1
0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,c1
0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,0,2,0,1,1,0,0,1,0,1,1,0,c1
1,0,0,9,0,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,c1
1,0,0,8,1,0,0,0,0,0,1,1,0,1,0,c1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,12,0,1,0,1,0,0,1,0,0,1,0,c1
1,0,0,13,8,0,0,0,0,0,0,0,0,0,0,c1
0,1,1,3,0,0,0,1,0,0,0,0,0,1,1,c1
0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,c1
0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,c1
1,0,0,13,8,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,9,0,0,1,0,0,0,0,0,1,1,0,c1
0,0,0,13,8,0,1,0,0,1,1,1,1,0,0,c1
0,0,0,9,0,0,1,0,0,0,0,0,1,1,0,c1
0,1,1,13,8,0,0,0,0,1,0,1,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
0,0,0,11,5,0,1,0,0,0,0,0,1,1,1,c1
0,0,0,0,4,0,1,1,0,0,0,0,1,1,1,c1
0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,c1
0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,9,0,0,0,1,0,0,1,0,0,1,0,c1
0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,c1
0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,c1
1,1,1,13,8,0,0,1,0,0,0,0,0,1,0,c1
0,1,1,3,2,0,0,1,0,0,1,0,0,1,0,c1
1,0,0,12,0,0,0,0,0,1,0,0,0,1,0,c1
1,1,1,13,8,0,0,1,0,1,1,1,0,0,0,c1
1,0,0,9,0,0,1,1,0,0,0,0,1,1,0,c1
1,0,0,8,1,0,1,1,0,0,1,0,2,1,0,c1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,3,2,1,0,1,0,1,0,0,0,1,1,c1
1,0,0,13,8,0,0,1,2,1,0,0,0,0,0,c1
0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,c1
0,0,0,5,8,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,3,2,0,0,1,0,1,1,1,0,0,0,c1
0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,c1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,c1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,3,0,0,1,1,0,0,0,0,2,1,0,c1
0,0,0,5,0,0,0,1,0,0,1,1,0,1,1,c1
0,1,1,10,1,1,0,1,0,1,0,1,0,1,0,c1
1,1,1,10,1,0,0,1,0,0,1,0,0,1,0,c1
1,0,0,12,0,0,1,1,0,0,1,1,2,0,0,c1
0,1,1,6,0,0,0,0,2,1,0,0,0,1,0,c1
0,0,0,11,5,0,0,1,0,0,1,0,0,1,1,c1
0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,c1
0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,c1
0,1,1,7,4,0,0,1,0,0,0,0,0,1,0,c1
1,0,0,13,8,0,0,0,2,1,1,0,0,0,0,c1
1,0,0,0,0,1,1,1,0,0,0,0,2,1,0,c1
0,1,1,13,8,1,0,1,0,1,1,0,0,0,0,c1
0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,c1
0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,c1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c1
0,0,0,6,0,0,1,0,0,0,1,0,1,1,0,c1
1,0,0,8,0,1,1,0,0,0,0,1,1,1,0,c1
1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,c1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,c1
1,1,1,8,0,1,0,1,0,0,1,1,0,1,0,c1
1,1,1,13,8,1,1,0,0,0,0,0,1,1,0,c1
0,1,1,13,8,0,0,0,0,1,0,1,0,1,0,c1
0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,c1
0,1,1,5,1,0,0,1,0,0,1,1,0,0,0,c1
0,0,0,13,8,0,1,0,0,0,0,0,1,1,1,c1
0,0,0,13,8,0,1,0,0,0,0,0,2,1,0,c1
0,1,1,6,0,0,0,1,0,0,1,1,0,0,1,c1
